ticker_base;ticker_b3_11;fundo_b3;razao_social_b3;duplicidade_ticker_b3;match_metodo;match_score;confianca;id_registro_fundo;cnpj_fundo;codigo_cvm_fundo;tipo_fundo_cvm;denominacao_fundo_cvm;situacao_fundo_cvm;data_registro_fundo;data_cancelamento_fundo;administrador_fundo;gestor_fundo;patrimonio_liq_fundo_cadastro;data_patrimonio_fundo_cadastro;id_registro_classe;cnpj_classe;codigo_cvm_classe;tipo_classe_cvm;denominacao_classe_cvm;situacao_classe_cvm;classificacao_classe;forma_condominio_classe;publico_alvo_classe;patrimonio_liq_classe_cadastro;data_patrimonio_classe_cadastro;auditor_classe;custodiante_classe;cad_fi_match_metodo;cad_fi_cnpj;cad_fi_situacao;cad_fi_classe_anbima;inf_diario_dt_competencia;inf_diario_vl_total;inf_diario_vl_quota;inf_diario_vl_patrim_liq;inf_diario_captc_dia;inf_diario_resg_dia;inf_diario_nr_cotistas;observacao_pendencia
ADSH;ADSH11;FII ADSH;AD SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;2250;63.375.304/0001-53;325222;FII;AD SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-10-27;;OLIVEIRA TRUST DTVM S.A.;CAPITANIA CAPITAL S.A.;;;35276;63.375.304/0001-53;13600;Classes de Cotas de Fundos FII;AD SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;466696777.25;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
AFHI;AFHI11;FII AFHI CRI;AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1197;36.642.293/0001-58;320100;FII;AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2020-10-20;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;AF INVEST REAL ESTATE ADMINISTRAÇÃO DE RECURSOS LTDA;430040925.86;2025-04-30;34497;36.642.293/0001-58;5380;Classes de Cotas de Fundos FII;AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;455471231.44;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
AFHF;AFHF11;FII AFHF;AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;2068;60.077.386/0001-61;325041;FII;AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-03-25;;BANCO DAYCOVAL S.A.;AF INVEST REAL ESTATE ADMINISTRAÇÃO DE RECURSOS LTDA;;;35109;60.077.386/0001-61;4456;Classes de Cotas de Fundos FII;AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;51159826.16;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
ATWN;ATWN11;FII A TOWN;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;NÃO;classe_exata;1.0;Alta;911;27.773.327/0001-52;317074;FII;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Em Funcionamento Normal;2017-09-22;;ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.;GIAA Investimentos Gestora de Recursos Ltda.;337161064.34;2025-05-31;34309;27.773.327/0001-52;9954;Classes de Cotas de Fundos FII;AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII;Em Funcionamento Normal;;Fechado;;326047969.47;2026-03-31;NOVA MASTER AUDITORES INDEPENDENTES;;;;;;;;;;;;;sem_inf_diario_202605
AJFI;AJFI11;FII AJ MALLS;AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1671;51.472.985/0001-99;323076;FII;AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2023-07-18;;XP INVESTIMENTOS CCTVM S.A.;CAPITANIA CAPITAL S.A.;384542682.67;2025-05-31;34809;51.472.985/0001-99;12033;Classes de Cotas de Fundos FII;AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;372202311.34;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
ALZC;ALZC11;FII ALIANZAC;ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1278;40.011.324/0001-40;321072;FII;ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-06-16;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ALIANZA GESTÃO DE RECURSOS LTDA;195840861.90;2025-03-31;34551;40.011.324/0001-40;5053;Classes de Cotas de Fundos FII;ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;182987415.91;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;nome_exato;43.009.201/0001-62;CANCELADA;;;;;;;;;sem_inf_diario_202605
MTOF;MTOF11;FII MULT OF1;ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;791;22.862.226/0001-34;319077;FII;ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2019-11-18;;OLIVEIRA TRUST DTVM S.A.;ALIANZA GESTÃO DE RECURSOS LTDA;133669743.78;2025-05-31;34253;22.862.226/0001-34;8010;Classes de Cotas de Fundos FII;ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;85226807.55;2026-03-31;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
ALZR;ALZR11;FII ALIANZA;ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;942;28.737.771/0001-85;317081;FII;ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2017-10-20;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ALIANZA GESTÃO DE RECURSOS LTDA;1274128693.80;2025-04-30;34323;28.737.771/0001-85;6270;Classes de Cotas de Fundos FII;ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;1486717530.70;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
AURB;AURB11;FII ALI URB;ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1320;41.076.823/0001-88;321186;FII;ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-12-14;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ALIANZA GESTÃO DE RECURSOS LTDA;65408945.40;2025-04-30;34576;41.076.823/0001-88;6432;Classes de Cotas de Fundos FII;ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;87859996.94;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
APXM;APXM11;FII APEX MS;APEX MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1433;43.010.485/0001-07;322091;FII;APEX MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2022-07-19;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BRM CARBYNE GESTÃO DE RECURSOS LTDA.;349217182.13;2025-03-31;34645;43.010.485/0001-07;5177;Classes de Cotas de Fundos FII;APEX MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;298530306.82;2026-03-31;;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
APXU;APXU11;FII APXU;APEX URB FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1733;52.521.137/0001-95;323138;FII;APEX URB FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2023-10-13;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;BRM CARBYNE GESTÃO DE RECURSOS LTDA.;8979090.11;2024-09-30;34847;52.521.137/0001-95;35;Classes de Cotas de Fundos FII;APEX URB FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;7632031.01;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
AIEC;AIEC11;FII AUTONOMY;ARCH EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1154;35.765.826/0001-26;320005;FII;ARCH EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2020-01-22;;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;ARCH CAPITAL LTDA.;374698865.84;2025-05-31;34466;35.765.826/0001-26;8052;Classes de Cotas de Fundos FII;ARCH EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;366252503.18;2026-03-31;KPMG AUDITORES INDEPENDENTES LTDA.;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
AVUR;AVUR11;FII AVUR;ARCH VANGUARDA UNIDADES RESIDENCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1939;57.109.239/0001-11;324150;FII;ARCH VANGUARDA UNIDADES RESIDENCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-09-02;;BANCO DAYCOVAL S.A.;ARCH CAPITAL LTDA.;;;35004;57.109.239/0001-11;2402;Classes de Cotas de Fundos FII;ARCH VANGUARDA UNIDADES RESIDENCIAIS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;;;25006715.08;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
AROA;AROA11;FII AROA;AROEIRA 333 RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1502;44.674.528/0001-11;322039;FII;AROEIRA 333 RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2022-04-19;;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;SONATA GESTORA DE RECURSOS LTDA;160064820.46;2025-05-31;34691;44.674.528/0001-11;11509;Classes de Cotas de Fundos FII;AROEIRA 333 RENDA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;158933919.39;2026-03-31;TATICCA AUDITORES INDEPENDENTES S.S. - EPP;VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.;;;;;;;;;;;;sem_inf_diario_202605
EIRA;EIRA11;FII EIRA;AROEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;2045;59.202.651/0001-07;325017;FII;AROEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2025-01-30;;QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;AROEIRA ASSET GESTÃO DE RECURSOS LTDA;;;35090;59.202.651/0001-07;3913;Classes de Cotas de Fundos FII;AROEIRA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;35979992.02;2026-03-31;NEXT AUDITORES INDEPENDENTES S/S LTDA.;QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
ARTE;ARTE11;FII ARTE;ÁRTEMIS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1772;53.193.237/0001-00;323180;FII;ÁRTEMIS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2023-12-13;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;ÁRTEMIS GESTÃO DE RECURSOS LTDA.;67073732.94;2024-09-30;34882;53.193.237/0001-00;507;Classes de Cotas de Fundos FII;ÁRTEMIS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;98849530.14;2026-03-31;UHY BENDORAYTES & CIA AUDITORES INDEPENDENTES;BANCO BTG PACTUAL S/A;nome_exato;07.358.133/0001-83;CANCELADA;;;;;;;;;sem_inf_diario_202605
ARXD;ARXD11;FII ARXD R;ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1488;44.527.494/0001-32;322076;FII;ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2022-06-02;;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;ARX INVESTIMENTOS LTDA;82725325.77;2025-05-31;34683;44.527.494/0001-32;8397;Classes de Cotas de Fundos FII;ARX DOVER RECEBÍVEIS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;79542207.16;2026-03-31;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;;;;;;;;;;;sem_inf_diario_202605
AZPE;AZPE11;FII AZPE;AZ QUEST PANORAMA CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1905;55.985.307/0001-80;324116;FII;AZ QUEST PANORAMA CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-07-18;;BANCO DAYCOVAL S.A.;AZ QUEST PANORAMA LTDA.;70154733.72;2024-09-30;34977;55.985.307/0001-80;2054;Classes de Cotas de Fundos FII;AZ QUEST PANORAMA CRÉDITO ESTRUTURADO FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;125208959.76;2026-03-31;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
AZPL;AZPL11;FII AZPL;AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1699;51.890.054/0001-00;323103;FII;AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2023-08-21;;BANCO DAYCOVAL S.A.;AZ QUEST PANORAMA LTDA.;180094907.84;2024-09-30;34825;51.890.054/0001-00;1031;Classes de Cotas de Fundos FII;AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;360336465.14;2026-03-31;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
AZSG;AZSG11;FII AZSG;AZ SOLARGRID RENDA  SOLAR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE  LIMITADA;NÃO;classe_exata;1.0;Alta;2373;65.782.151/0001-94;326048;FII;AZ SOLARGRID RENDA  SOLAR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE  LIMITADA;Em Funcionamento Normal;2026-03-19;;XP INVESTIMENTOS CCTVM S.A.;AZ QUEST INFRA LTDA.;;;35399;65.782.151/0001-94;15261;Classes de Cotas de Fundos FII;AZ SOLARGRID RENDA  SOLAR FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE  LIMITADA;Em Funcionamento Normal;;Fechado;;;;;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
CEBB;CEBB11;FII CEBB;BALTIMORE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1923;56.304.155/0001-76;324134;FII;BALTIMORE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-08-06;;BANCO DAYCOVAL S.A.;CY.CAPITAL GESTORA DE RECURSOS LTDA.;1370172.75;2024-09-30;34991;56.304.155/0001-76;2232;Classes de Cotas de Fundos FII;BALTIMORE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;35488025.18;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
BCRI;BCRI11;FII BEES CRI;BANESTES RECEBÍVEIS  IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESPONSABILIDADE LIMITAD;NÃO;classe_exata;1.0;Alta;783;22.219.335/0001-38;315014;FII;BANESTES RECEBÍVEIS  IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESPONSABILIDADE LIMITAD;Em Funcionamento Normal;2015-06-30;;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;BANESTES DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;541846352.43;2025-05-31;34248;22.219.335/0001-38;6220;Classes de Cotas de Fundos FII;BANESTES RECEBÍVEIS  IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII - RESPONSABILIDADE LIMITAD;Em Funcionamento Normal;;Fechado;;533542183.17;2026-03-31;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
BNFS;BNFS11;FII BANRISUL;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;616;15.570.431/0001-60;312027;FII;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2012-09-11;;OLIVEIRA TRUST DTVM S.A.;OLIVEIRA TRUST DTVM S.A.;54410086.01;2025-04-30;34156;15.570.431/0001-60;5754;Classes de Cotas de Fundos FII;BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIARIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;48835392.92;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
BTML;BTML11;FII BR MALLS;BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;NÃO;classe_exata;1.0;Alta;1186;36.501.210/0001-00;321105;FII;BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;Em Funcionamento Normal;2021-08-11;;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;130752081.21;2025-05-31;34490;36.501.210/0001-00;11169;Classes de Cotas de Fundos FII;BARRA MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO;Em Funcionamento Normal;;Fechado;;146195063.34;2026-04-30;AUDIPEC AUDITORIA E PERÍCIA CONTÁBIL S/S;RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;nome_fuzzy_0.84;10.519.343/0001-10;CANCELADA;;;;;;;;;sem_inf_diario_202605
BZEL;BZEL11;FII BARZEL;BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1126;35.507.610/0001-60;320030;FII;BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2020-04-14;;OURIBANK S.A. BANCO MULTIPLO;BARZEL PROPERTIES GESTORA DE RECURSOS LTDA.;514308855.10;2024-12-31;34447;35.507.610/0001-60;3808;Classes de Cotas de Fundos FII;BARZEL CD1 FUNDO DE INVESTIMENTO IMOBILIARIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;526020165.10;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;OURIBANK S.A. BANCO MULTIPLO;;;;;;;;;;;;sem_inf_diario_202605
BPDR;BPDR11;FII BPDR;BASÍLICA PARTNERS GDR FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1906;55.985.359/0001-57;324117;FII;BASÍLICA PARTNERS GDR FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;Fase Pré-Operacional;2024-07-18;;BANCO DAYCOVAL S.A.;DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA;;;34978;55.985.359/0001-57;2062;Classes de Cotas de Fundos FII;BASÍLICA PARTNERS GDR FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;Fase Pré-Operacional;;Fechado;;;;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
BPLC;BPLC11;FII BASILICA;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;NÃO;classe_exata;1.0;Alta;930;28.267.555/0001-13;317057;FII;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;Em Funcionamento Normal;2017-07-31;;BANCO DAYCOVAL S.A.;BASÍLICA PARTNERS LATIN AMERICA PRIVATE EQUITY LTDA.;328533893.90;2024-09-30;34316;28.267.555/0001-13;906;Classes de Cotas de Fundos FII;BASÍLICA PARTNERS LED CORPORATE FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;Em Funcionamento Normal;;Fechado;;323335754.04;2026-03-31;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
BPMW;BPMW11;FII BPMW;BASÍLICA PARTNERS MEDWELL FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1259;39.591.218/0001-01;322071;FII;BASÍLICA PARTNERS MEDWELL FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2022-05-23;;BANCO DAYCOVAL S.A.;BASÍLICA PARTNERS LATIN AMERICA PRIVATE EQUITY LTDA.;17124744.73;2025-03-31;34541;39.591.218/0001-01;5240;Classes de Cotas de Fundos FII;BASÍLICA PARTNERS MEDWELL FUNDO DE INVESTIMENTO IMOBILIÁRIO FII RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;;;46254073.74;2026-03-31;RSM BRASIL AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
