ticker_base;ticker_b3_11;fundo_b3;razao_social_b3;duplicidade_ticker_b3;match_metodo;match_score;confianca;id_registro_fundo;cnpj_fundo;codigo_cvm_fundo;tipo_fundo_cvm;denominacao_fundo_cvm;situacao_fundo_cvm;data_registro_fundo;data_cancelamento_fundo;administrador_fundo;gestor_fundo;patrimonio_liq_fundo_cadastro;data_patrimonio_fundo_cadastro;id_registro_classe;cnpj_classe;codigo_cvm_classe;tipo_classe_cvm;denominacao_classe_cvm;situacao_classe_cvm;classificacao_classe;forma_condominio_classe;publico_alvo_classe;patrimonio_liq_classe_cadastro;data_patrimonio_classe_cadastro;auditor_classe;custodiante_classe;cad_fi_match_metodo;cad_fi_cnpj;cad_fi_situacao;cad_fi_classe_anbima;inf_diario_dt_competencia;inf_diario_vl_total;inf_diario_vl_quota;inf_diario_vl_patrim_liq;inf_diario_captc_dia;inf_diario_resg_dia;inf_diario_nr_cotistas;observacao_pendencia
SHOP;SHOP11;FII MULTSHOP;MULTI SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;786;22.459.737/0001-00;316007;FII;MULTI SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2016-02-23;;RIO BRAVO INVESTIMENTOS - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;CAPITANIA CAPITAL S.A.;80112764.03;2025-04-30;34250;22.459.737/0001-00;6238;Classes de Cotas de Fundos FII;MULTI SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;78441044.78;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;;;;;;;;;;;;;sem_inf_diario_202605
MOFF;MOFF11;FII MULT OF2;MULTIOFFICES 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1008;31.508.219/0001-20;319078;FII;MULTIOFFICES 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2019-11-18;;OLIVEIRA TRUST DTVM S.A.;ALIANZA GESTÃO DE RECURSOS LTDA;79359065.67;2025-05-31;34372;31.508.219/0001-20;7080;Classes de Cotas de Fundos FII;MULTIOFFICES 2 - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;39080771.67;2026-03-31;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA;OLIVEIRA TRUST DTVM S.A.;;;;;;;;;;;;sem_inf_diario_202605
NCRI;NCRI11;FII NAVI CRI;NAVI CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1279;40.041.603/0001-56;322049;FII;NAVI CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2022-05-05;;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;NAVI REAL ESTATE SELECTION - ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.;39365268.33;2025-05-31;34552;40.041.603/0001-56;8370;Classes de Cotas de Fundos FII;NAVI CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;39670324.26;2026-03-31;GRANT THORNTON AUDITORES INDEPENDENTES LTDA.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;nome_fuzzy_0.87;38.294.221/0001-92;CANCELADA;;;;;;;;;sem_inf_diario_202605
NAVT;NAVT11;FII NAVI TOT;NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1138;35.652.252/0001-80;320049;FII;NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2020-07-08;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;NAVI REAL ESTATE SELECTION - ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.;52033897.89;2025-04-30;34453;35.652.252/0001-80;6726;Classes de Cotas de Fundos FII;NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;54543324.14;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;nome_fuzzy_0.94;52.372.038/0001-99;CANCELADA;;;;;;;;;sem_inf_diario_202605
APTO;APTO11;FII NAVI RSD;NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE  LIMITADA;NÃO;classe_exata;1.0;Alta;1385;42.432.327/0001-82;321104;FII;NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE  LIMITADA;Em Funcionamento Normal;2021-08-10;;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;NAVI REAL ESTATE VENTURES - ADMINISTRADORA E GESTORA DE RECURSOS FINANCEIROS LTDA.;45172206.20;2025-05-31;34619;42.432.327/0001-82;8249;Classes de Cotas de Fundos FII;NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE  LIMITADA;Em Funcionamento Normal;;Fechado;;45150587.11;2026-03-31;BAKER TILLY 4PARTNERS AUDITORES INDEPENDENTES LTDA.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
EAGL;EAGL11;FII EAGL;NEST EAGLE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1840;54.422.883/0001-57;324051;FII;NEST EAGLE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2024-03-21;;BANCO DAYCOVAL S.A.;NEST INTERNATIONAL ADMINISTRADORA DE CARTEIRA DE VALORES MOBILIÁRIOS LTDA;;;34932;54.422.883/0001-57;1309;Classes de Cotas de Fundos FII;NEST EAGLE FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;194488882.57;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO DAYCOVAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
NEWL;NEWL11;FII NEWPORT;NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1050;32.527.626/0001-47;319027;FII;NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2019-06-28;;BANCO GENIAL S.A.;NEWPORT REAL ESTATE GESTORA DE RECURSOS LTDA;369748296.22;2025-05-31;34402;32.527.626/0001-47;10391;Classes de Cotas de Fundos FII;NEWPORT LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;366566931.05;2026-03-31;KPMG AUDITORES INDEPENDENTES LTDA.;BANCO GENIAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
NEWU;NEWU11;FII NEWRU;NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;599;14.793.782/0001-78;312008;FII;NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2012-04-09;;BANCO GENIAL S.A.;NEWPORT REAL ESTATE GESTORA DE RECURSOS LTDA;57693986.33;2025-05-31;34144;14.793.782/0001-78;9326;Classes de Cotas de Fundos FII;NEWPORT RENDA URBANA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;68770804.59;2026-03-31;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA.;BANCO GENIAL S.A.;;;;;;;;;;;;sem_inf_diario_202605
NMKS;NMKS11;FII NMKS;NM KSM LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;1437;43.011.068/0001-89;321190;FII;NM KSM LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2021-12-28;;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM;NOVA MILANO INVESTIMENTOS LTDA;236111081.94;2025-05-31;34649;43.011.068/0001-89;8338;Classes de Cotas de Fundos FII;NM KSM LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;;;302929381.57;2026-03-31;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.;BANCO BTG PACTUAL S/A;;;;;;;;;;;;sem_inf_diario_202605
NVIF;NVIF11;FII NOVA I;NOVA I - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;NÃO;classe_exata;1.0;Alta;772;22.003.469/0001-17;315030;FII;NOVA I - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;2015-12-15;;MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;PÁTRIA VBI SECURITIES LTDA.;93960223.78;2025-05-31;34243;22.003.469/0001-17;7838;Classes de Cotas de Fundos FII;NOVA I - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA;Em Funcionamento Normal;;Fechado;;119746430.23;2026-03-31;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA.;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;;;;;;;;;;;sem_inf_diario_202605
